"""'Job""","""'Workflow""","""'Failure rate""","""'Avg run time""","""'Avg queue time""","""'Runner type""","""'Runner labels""","""'Job runs"""
"""'Cancel Coverage for 76611""","""'.github/workflows/cancel-coverage.yml""",0.00,3311,2503,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI for 76667""","""'.github/workflows/cancel-CI.yml""",0.00,3302,3910,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Build for 76555""","""'.github/workflows/cancel-CI-build.yml""",0.00,3275,1938,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Build for 76740""","""'.github/workflows/cancel-CI-build.yml""",0.00,3242,2462,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Windows for 76717""","""'.github/workflows/cancel-windows.yml""",0.00,3221,4819,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Windows for 76746""","""'.github/workflows/cancel-windows.yml""",0.00,3203,2214,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI for 76396""","""'.github/workflows/cancel-CI.yml""",0.00,3173,2170,"""'hosted""","""'ubuntu-latest""",2
"""'Cancel CI-Build for 76661""","""'.github/workflows/cancel-CI-build.yml""",0.00,3167,2312,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Windows for 76639""","""'.github/workflows/cancel-windows.yml""",0.00,3166,2536,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI for 76704""","""'.github/workflows/cancel-CI.yml""",0.00,3150,2923,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Build for 76744""","""'.github/workflows/cancel-CI-build.yml""",0.00,3145,4725,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel Coverage for 76695""","""'.github/workflows/cancel-coverage.yml""",0.00,3068,2570,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI for 76717""","""'.github/workflows/cancel-CI.yml""",0.00,2968,1877,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Build for 76723""","""'.github/workflows/cancel-CI-build.yml""",0.00,2916,2351,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI for 76741""","""'.github/workflows/cancel-CI.yml""",0.00,2907,1662167,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel Coverage for 76549""","""'.github/workflows/cancel-coverage.yml""",0.00,2898,2821,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI for 75879""","""'.github/workflows/cancel-CI.yml""",0.00,2891,2006,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel Coverage for 76555""","""'.github/workflows/cancel-coverage.yml""",0.00,2880,1743,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel Coverage for 76733""","""'.github/workflows/cancel-coverage.yml""",0.00,2842,2247,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI for 76745""","""'.github/workflows/cancel-CI.yml""",0.00,2840,7276,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI for 76726""","""'.github/workflows/cancel-CI.yml""",0.00,2822,2534,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI for 76740""","""'.github/workflows/cancel-CI.yml""",0.00,2808,2385,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel Coverage for 76752""","""'.github/workflows/cancel-coverage.yml""",0.00,2786,2156,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Build for 76720""","""'.github/workflows/cancel-CI-build.yml""",0.00,2774,2093,"""'hosted""","""'ubuntu-latest""",1
