"""'Job""","""'Workflow""","""'Total minutes""","""'Job runs""","""'Runner type""","""'Runner labels"""
"""'Distribute-stable / Test""","""'.github/workflows/CI.yml""",45,5,"""'self-hosted""","""'"""
"""'Slice build / Build""","""'.github/workflows/Slice-baseline.yml""",25,1,"""'self-hosted""","""'"""
"""'Check""","""'.github/workflows/CheckPRTemplate-fleety.yml""",14,14,"""'hosted""","""'ubuntu-latest"""
"""'CodeQL analysis (python)""","""'dynamic/copilot-pull-request-reviewer/copilot-pull-request-reviewer""",10,1,"""'hosted""","""'ubuntu-latest"""
"""'Slice test / Slice test""","""'.github/workflows/Slice-torch.yml""",9,1,"""'self-hosted""","""'"""
"""'Agent""","""'dynamic/copilot-pull-request-reviewer/copilot-pull-request-reviewer""",7,2,"""'hosted""","""'ubuntu-latest"""
"""'Doc-Preview / Check bypass for Doc-Preview / Check bypass""","""'.github/workflows/CI-Build.yml""",6,6,"""'self-hosted""","""'"""
"""'Slice test / Slice test""","""'.github/workflows/Slice-baseline.yml""",6,1,"""'self-hosted""","""'"""
"""'Api benchmark clone / Clone Paddle""","""'.github/workflows/Api-Benchmark-baseline.yml""",4,2,"""'self-hosted""","""'"""
"""'Api benchmark build docker / Build docker""","""'.github/workflows/Api-Benchmark-baseline.yml""",4,2,"""'self-hosted""","""'"""
"""'Slice-base clone / Clone Paddle""","""'.github/workflows/Slice-torch.yml""",3,1,"""'self-hosted""","""'"""
"""'Api benchmark baseline with schedule (api-bm-27) / Check bypass / Check bypass""","""'.github/workflows/Api-Benchmark-baseline.yml""",2,2,"""'self-hosted""","""'"""
"""'Coverage build docker""","""'.github/workflows/Night_ALL_Coverage.yml""",2,2,"""'self-hosted""","""'"""
"""'Api benchmark baseline with schedule (api-bm-20) / Check bypass / Check bypass""","""'.github/workflows/Api-Benchmark-baseline.yml""",2,2,"""'self-hosted""","""'"""
"""'Cancel CI-Build for 76396""","""'.github/workflows/cancel-CI-build.yml""",2,2,"""'hosted""","""'ubuntu-latest"""
"""'Cancel Coverage for 76396""","""'.github/workflows/cancel-coverage.yml""",2,2,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI-Windows for 76396""","""'.github/workflows/cancel-windows.yml""",2,2,"""'hosted""","""'ubuntu-latest"""
"""'Slice build docker / Build docker""","""'.github/workflows/Slice-torch.yml""",2,1,"""'self-hosted""","""'"""
"""'Prepare""","""'dynamic/copilot-pull-request-reviewer/copilot-pull-request-reviewer""",2,2,"""'hosted""","""'ubuntu-latest"""
"""'Upload results""","""'dynamic/copilot-pull-request-reviewer/copilot-pull-request-reviewer""",2,2,"""'hosted""","""'ubuntu-latest"""
"""'Cleanup artifacts""","""'dynamic/copilot-pull-request-reviewer/copilot-pull-request-reviewer""",2,2,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI for 76396""","""'.github/workflows/cancel-CI.yml""",2,2,"""'hosted""","""'ubuntu-latest"""
"""'Slice-base clone / Clone Paddle""","""'.github/workflows/Slice-baseline.yml""",2,1,"""'self-hosted""","""'"""
"""'Slice build docker / Build docker""","""'.github/workflows/Slice-baseline.yml""",2,1,"""'self-hosted""","""'"""
"""'Cancel Coverage for 76717""","""'.github/workflows/cancel-coverage.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI-Build for 76742""","""'.github/workflows/cancel-CI-build.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel Coverage for 76730""","""'.github/workflows/cancel-coverage.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI-Build for 76717""","""'.github/workflows/cancel-CI-build.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI-Windows for 76717""","""'.github/workflows/cancel-windows.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI-Windows for 76742""","""'.github/workflows/cancel-windows.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel Coverage for 76742""","""'.github/workflows/cancel-coverage.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI for 76717""","""'.github/workflows/cancel-CI.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI-Build for 76749""","""'.github/workflows/cancel-CI-build.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
"""'Cancel CI-Windows for 76749""","""'.github/workflows/cancel-windows.yml""",1,1,"""'hosted""","""'ubuntu-latest"""
